"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLCD1",-1.36387163496357,8.87424766384011,-9.22887797024469,2.87901171738191e-08,1.83044986771693e-06,9.2832563980135
"ADH1B",-2.16507041529745,4.90467159720555,-9.21803449483003,2.93051479359319e-08,1.85261370440764e-06,9.26563100026266
"HECTD3",-1.28225204088391,8.88565091111301,-9.19311013116172,3.05257911009925e-08,1.91226124900012e-06,9.22506071463967
"MT1M",-3.34562308214813,6.89341851775561,-9.16249275861169,3.20982994208436e-08,1.9589159867179e-06,9.17511426850156
"SLC25A34",-1.6061107737819,6.25674520424604,-9.14348416042211,3.31169415088812e-08,1.9981805586336e-06,9.1440445115234
"SCG2",-2.27508995633753,6.03284876753043,-9.08116693670566,3.66997856477128e-08,2.14155817674146e-06,9.04185860244408
"SMPD3",-1.05963896819909,6.91461484080366,-9.03970645682828,3.93058882259333e-08,2.2266413302665e-06,8.97359383734227
"BTNL8",-2.52468182368671,8.47117099099683,-9.0395401598635,3.93167217853146e-08,2.2266413302665e-06,8.97331957881149
"CHST5",-2.67251578833854,8.301361822143,-9.03488216734972,3.96214406390443e-08,2.2266413302665e-06,8.96563611015085
"TIAM1",-1.05354981550345,5.87288890449945,-9.02937707380951,3.99847570218477e-08,2.23526335907699e-06,8.95655168425652
"VLDLR",-2.25056745433779,6.55643490388899,-9.02166552754846,4.04995495210476e-08,2.24051923441245e-06,8.94381956062527
"KIF13B",-1.50547336548097,9.67450597402161,-8.99545100818208,4.23018754922529e-08,2.30612294912585e-06,8.90048015444217
"TRANK1",-1.2447767693698,6.78322582302569,-8.99344334136375,4.24433164025229e-08,2.30612294912585e-06,8.89715726098482
"FAM214B",-1.54318648610093,8.23712179097127,-8.94692975103792,4.58622267944463e-08,2.42386989700971e-06,8.82002491488472
"TUBB2A",-2.04340755787892,9.98198519648367,-8.94264974095307,4.61909442833901e-08,2.4291874624492e-06,8.81291324241603
"KLF2",-1.50831104529083,7.72376613432323,-8.94085628304995,4.6329417407475e-08,2.43046862404387e-06,8.80993251530294
"RUNDC3B",-1.79859782814622,6.11484408323368,-8.91429504591748,4.84317131962488e-08,2.48591107727294e-06,8.76573831548293
"MGLL",-1.18696488765651,10.2519054266691,-8.91279456239827,4.85534066456427e-08,2.48591107727294e-06,8.7632389547666
"PTPRH",-2.40012193500371,8.23762450305326,-8.88837808160697,5.05791327414794e-08,2.54677292733043e-06,8.72252672821951
"LOC102724156",-1.25654237478507,5.38355878640007,-8.84280469126593,5.45996259473235e-08,2.6787490588332e-06,8.64632722523692
"ETFDH",-1.78188026945215,7.68937174421471,-8.82475198428507,5.62832062124158e-08,2.73693152766722e-06,8.61606697493511
"GIPC1",-1.19777649986495,10.703800127814,-8.77359227346626,6.13550565393129e-08,2.8994797653109e-06,8.53007788497059
"ACADS",-1.354569821462,8.5185014305192,-8.77320110295116,6.13956229942821e-08,2.8994797653109e-06,8.52941907012691
"ATP2A3",-1.32291446701332,6.19416271309772,-8.76765798833885,6.19734906690133e-08,2.91384851602498e-06,8.52008109591893
"MT1E",-1.95025732895366,10.198898331426,-8.7196675968614,6.72200900696441e-08,3.07896924385667e-06,8.4390653906929
"ABCG2",-3.93365464550823,7.64000524180834,-8.70143323280164,6.93332461961832e-08,3.14867550262794e-06,8.40820240102108
"PDZD3",-1.00210084934052,7.26064178834622,-8.67988410003503,7.19201821863289e-08,3.23170455777768e-06,8.37167175303438
"CPTP",-1.08152325666027,8.04371176708407,-8.67119102571671,7.29920880345074e-08,3.25009447588562e-06,8.35691747774086
"ATP6V0D1",-1.22328661585118,9.78618020268438,-8.6663649641717,7.35943494916574e-08,3.26483489505604e-06,8.34872211089987
"DUSP5",-1.74244336826786,8.23121689995911,-8.66103947402562,7.42649555745121e-08,3.2755694972017e-06,8.33967502704616
"MT1X",-1.94311884602405,9.85625369955808,-8.64729029235654,7.60259382286494e-08,3.3387143470763e-06,8.31630001494781
"ACAA1",-1.20576006584891,9.90010230647486,-8.61948902151925,7.97210610726661e-08,3.41970036984665e-06,8.26895769223461
"BEST2",-2.685403458417,7.16042923614047,-8.61156444157337,8.08082826461373e-08,3.44916956328673e-06,8.25544408524014
"SLCO2A1",-1.89063157563235,8.27518812484657,-8.60388831251885,8.18761668747507e-08,3.48776095653063e-06,8.24234612388552
"PDE3A",-1.2402820730908,6.91155909188249,-8.58316873700256,8.48327345786481e-08,3.58548462248131e-06,8.20695232825533
"TMEM100",-2.64364102667544,5.74429445358584,-8.55775000895021,8.86125904853142e-08,3.70476321406129e-06,8.16345249104714
"BAG1",-1.0307844802389,9.29103074467507,-8.55135265785084,8.95912837811036e-08,3.72775479883427e-06,8.15249081832571
"MT1HL1",-1.94628230585397,10.4011841297592,-8.55122887214461,8.96103317997626e-08,3.72775479883427e-06,8.15227866082364
"ATG4D",-1.25205099320986,7.33712130385877,-8.54736329772296,9.02072922461159e-08,3.74527313362577e-06,8.14565237764343
