"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CDHR5",-1.89744146349174,6.75713500011745,-11.2732309225208,2.70824518391702e-08,1.98223072756868e-06,9.48706442954163
"EPHX2",-2.01677223254543,7.30178386634938,-11.2636746685688,2.73687996787225e-08,1.9940864565446e-06,9.47635088769061
"VAMP8",-1.16191155382616,9.69650117782,-11.2543836995082,2.76502946707225e-08,1.99443530639052e-06,9.4659270324307
"ATP8B1",-1.66958760159489,9.42716574651328,-11.2136026955332,2.89228801606015e-08,2.04616913094567e-06,9.4200831396518
"IMPA1",-1.44975578276079,8.94517611566903,-11.2115065245951,2.89899568230412e-08,2.04616913094567e-06,9.41772275051968
"TTLL6",-1.44205977573016,5.76813406376204,-11.2013699563546,2.93166711634473e-08,2.06077814887876e-06,9.40630298246037
"CDHR2",-1.9843879615194,7.22794297283313,-11.1879404840852,2.97555774169455e-08,2.06437799154242e-06,9.39115939220892
"CIPC",-1.71546884332486,7.02540830263505,-11.1744355046102,3.0204022184056e-08,2.0752111887039e-06,9.37591446721827
"ENTPD5",-1.92772576134037,7.67475280214868,-11.160335362799,3.06799267874516e-08,2.09916478628591e-06,9.35998034873435
"PXMP2",-1.60545437952998,7.859226387156,-11.1010568950513,3.27698927123346e-08,2.21361395153421e-06,9.29279708163105
"ATP2B1",-1.50840940138966,7.64338716425515,-11.0746307729323,3.37500301475235e-08,2.26050909469215e-06,9.26274532510884
"FGD4",-1.48678588535712,5.73669899501882,-11.0641925798604,3.41457467543511e-08,2.27271956287789e-06,9.25085767916564
"LIMA1",-2.04413513222283,8.7057815643933,-11.0423363595232,3.49904332583214e-08,2.31349956629283e-06,9.2259346048326
"BRINP3",-1.94806867910807,3.71433972823549,-11.0335783305291,3.53351337842694e-08,2.31349956629283e-06,9.21593552105271
"B4GALNT2",-2.12687894017883,5.39546713888299,-11.0324273211992,3.53807038518445e-08,2.31349956629283e-06,9.21462089143439
"UAP1",-1.11954961068537,9.36263024212272,-11.0316843226965,3.54101534631421e-08,2.31349956629283e-06,9.21377220912728
"ACADSB",-1.0143521132507,5.94185542842044,-11.0127566891306,3.61692504315683e-08,2.34868556384748e-06,9.19213542754785
"HGD",-1.16527373128993,5.02049789607591,-11.0032915314883,3.65553404211198e-08,2.36654162805298e-06,9.18130329940838
"PPP1R14D",-1.15483281707098,8.72577082254761,-10.9862738470662,3.72605935431774e-08,2.38572982068754e-06,9.16180739545284
"SULT1A2",-2.09569329579974,8.58434133861874,-10.9437471275235,3.90871703552966e-08,2.48512728775362e-06,9.11297216148032
"SEMA6D",-1.40939804800296,5.4196735221999,-10.8988122303573,4.11212997041206e-08,2.58360637875535e-06,9.06119150319076
"HSD11B2",-2.23425643640405,9.01544323271024,-10.8839190141014,4.18201436762313e-08,2.61978600047074e-06,9.04398835277914
"IL1R2",-3.05504819692177,7.11075801244301,-10.8791355483885,4.20472777713554e-08,2.62629023241085e-06,9.03845863335287
"TMEM72",-1.15820198697044,6.09187059556879,-10.8646405386654,4.27436095157322e-08,2.66197701484088e-06,9.0216894015431
"PGGT1B",-1.20240591160317,6.62097611253546,-10.841021382268,4.39047153476301e-08,2.71839108194527e-06,8.99432284428351
"MIR22HG",-1.85691536578361,6.78421141569821,-10.8201638122167,4.4958021554744e-08,2.77057410758012e-06,8.97011302811239
"DHRS11",-2.65269805403016,8.57436009525225,-10.8179228275455,4.50727826540818e-08,2.77057410758012e-06,8.96750946694092
"CA1",-3.20068780339081,6.76074960240045,-10.816656624006,4.51377630560261e-08,2.77057410758012e-06,8.96603819364244
"HRASLS2",-1.18666380875599,5.24269504546581,-10.8123115991111,4.53615057408748e-08,2.77630664015774e-06,8.96098833066424
"FTH1",-1.26441054852011,11.5695750690335,-10.798913461259,4.60589004320903e-08,2.80707454971448e-06,8.94540572287809
"KRCC1",-1.21697499330385,8.64593853896369,-10.797601459267,4.61278037654382e-08,2.80707454971448e-06,8.94387890978433
"DHRS1",-1.45390624702353,7.96021194157189,-10.7843556634848,4.68296260972474e-08,2.83447089498142e-06,8.92845542177465
"PAQR8",-1.74385770208775,8.8829427850725,-10.7550825983804,4.84213195024832e-08,2.90052014190636e-06,8.89431156475012
"SLC35D1",-1.55950638799713,7.64232354828083,-10.7542951723139,4.84649230306559e-08,2.90052014190636e-06,8.89339201051289
"SCNN1B",-2.77967169030506,5.98663275376771,-10.7540149006849,4.84804530972658e-08,2.90052014190636e-06,8.89306469597636
"TP53I3",-1.33438777475319,7.99711755342265,-10.735133493904,4.95389945199107e-08,2.95554914364027e-06,8.87099713617216
"MXI1",-2.00035327552433,9.94610487905106,-10.7161890105988,5.06258544575665e-08,3.01195551422265e-06,8.84882222413627
"EAPP",-1.37076471608457,8.89322828561206,-10.7020085071593,5.14560142718993e-08,3.0258329735012e-06,8.83220155905264
"CIDEB",-1.18522673967659,6.69733919066458,-10.7003528225535,5.15538832471888e-08,3.0258329735012e-06,8.83025973175262
"PPP2R3A",-1.44242733202197,6.24613520574485,-10.6978201318796,5.17039766920594e-08,3.0258329735012e-06,8.82728883043104
"PANK3",-1.33797322888492,7.93126528301733,-10.697693417677,5.17114983029456e-08,3.0258329735012e-06,8.82714017602812
"PLPP1",-1.95312603976347,8.64417620234053,-10.6887255515217,5.22467924380374e-08,3.04160302952925e-06,8.81661570363677
