,logFC,logCPM,insert,PValue,FDR
ADTRP,-3.088256896,4.461976543,NA,5.88E-62,2.52E-60
AC004707.1,-2.573269652,-2.446953775,NA,6.90E-62,2.95E-60
ADAMTS9-AS1,-3.578726432,-0.103748132,NA,7.20E-62,3.08E-60
ZG16,-4.440154303,7.355175712,NA,7.71E-62,3.29E-60
RAB9B,-2.344528812,0.461618578,NA,9.43E-62,4.02E-60
CLIP3,-2.014245008,3.648554998,NA,9.90E-62,4.21E-60
CRYAB,-2.431708347,3.831460389,NA,1.02E-61,4.32E-60
VAT1L,-2.091942025,1.453119934,NA,1.13E-61,4.79E-60
SLMAP,-1.270663096,6.098062522,NA,1.20E-61,5.08E-60
DSC2,-1.58760188,6.900559096,NA,1.40E-61,5.92E-60
LONRF2,-3.766301774,0.484361991,NA,1.73E-61,7.31E-60
MYOC,-4.838708576,-0.181464018,NA,1.76E-61,7.41E-60
PAQR5,-1.877582845,4.531813976,NA,1.80E-61,7.56E-60
P2RX1,-2.193344309,1.354260391,NA,1.82E-61,7.66E-60
FAM161B,-1.390793088,1.881181933,NA,1.94E-61,8.14E-60
KIAA1211,-2.090413104,3.815637805,NA,3.74E-61,1.57E-59
CD160,-2.286153784,-0.604514977,NA,4.52E-61,1.89E-59
CLCNKB,-3.16284396,-2.207487821,NA,5.57E-61,2.33E-59
SPARCL1,-2.317224554,6.494183453,NA,6.55E-61,2.73E-59
AC010776.2,-4.141027377,-3.058494402,NA,7.22E-61,3.01E-59
FCRL4,-3.275231528,-1.962234394,NA,8.54E-61,3.55E-59
AC135012.3,-2.447961417,-0.895092202,NA,9.82E-61,4.07E-59
TNFSF10,-1.497435785,6.225129531,NA,1.15E-60,4.77E-59
PAG1,-1.748795405,5.005456951,NA,1.40E-60,5.79E-59
SUCLG2,-1.321796841,7.026494905,NA,1.56E-60,6.42E-59
CPEB3,-1.355817104,2.464533245,NA,1.80E-60,7.39E-59
DPF3,-2.323374057,1.084498937,NA,2.22E-60,9.11E-59
ITGA8,-1.865172815,2.388309274,NA,2.36E-60,9.67E-59
NACAD,-2.127327598,0.818507236,NA,3.07E-60,1.26E-58
MAOA,-1.988432511,7.176208693,NA,3.22E-60,1.32E-58
HTR7,-2.454792315,-1.446244954,NA,4.67E-60,1.91E-58
PLSCR4,-1.630490321,4.101422477,NA,4.98E-60,2.03E-58
FMO5,-2.024874854,4.390066834,NA,5.23E-60,2.13E-58
GPR15,-3.524045861,0.824894067,NA,6.35E-60,2.57E-58
LRRC3B,-3.302254504,-3.359304894,NA,7.18E-60,2.91E-58
CLMN,-1.342208764,5.855628094,NA,9.06E-60,3.67E-58
DMRTA1,-3.295144574,-0.958208101,NA,9.31E-60,3.76E-58
BMP2,-1.923650259,4.357318673,NA,1.11E-59,4.47E-58
KLF9,-1.89823136,4.773443135,NA,1.25E-59,5.02E-58
HSD3BP2,-4.695111231,-3.226039319,NA,1.51E-59,6.08E-58
GAP43,-3.188819184,0.261652556,NA,1.75E-59,7.01E-58
IGSF11,-3.286339489,-1.792945566,NA,2.38E-59,9.54E-58
SEMA6A-AS2,-2.585687175,-3.230870147,NA,2.53E-59,1.01E-57
TUBAL3,-2.545363949,3.14766295,NA,3.64E-59,1.46E-57
ARMCX1,-1.980555732,2.210827023,NA,3.76E-59,1.50E-57
ITGA7,-1.96050902,4.094981986,NA,5.28E-59,2.10E-57
AL356489.2,-3.334420568,-1.78365392,NA,5.85E-59,2.33E-57
BCAS1,-2.487172588,5.763201354,NA,5.99E-59,2.38E-57
AC079313.2,-3.710396881,-2.779555453,NA,6.17E-59,2.45E-57
B3GALT1,-3.310882593,1.497235116,NA,6.44E-59,2.55E-57
BAALC,-2.40231532,-0.447297213,NA,8.00E-59,3.15E-57
ITIH5,-2.07759197,4.560093111,NA,9.85E-59,3.87E-57
RHOU,-1.475543515,5.186792383,NA,1.03E-58,4.05E-57
TMEM255A,-2.436838615,0.191507045,NA,1.10E-58,4.30E-57
B4GALNT2,-4.177809756,4.384268148,NA,1.17E-58,4.56E-57
TMEM131,-1.000747247,6.376369301,NA,1.26E-58,4.92E-57
C1QTNF7,-2.778597666,0.855716655,NA,1.54E-58,6.00E-57
AC073050.1,-3.115030528,-3.032171908,NA,1.76E-58,6.87E-57
TPH1,-3.247799352,1.168442748,NA,1.82E-58,7.10E-57
ARHGEF26,-1.89966963,2.622391168,NA,1.87E-58,7.27E-57
SLC35G1,-1.373477635,3.530002135,NA,2.12E-58,8.24E-57
IGKV2-30,-3.697727415,0.708583841,NA,2.15E-58,8.32E-57
FEV,-3.917182645,-1.16587259,NA,3.23E-58,1.25E-56
FLNA,-2.201220098,9.83807111,NA,4.42E-58,1.71E-56
GDPD3,-2.112485539,3.607667218,NA,4.86E-58,1.88E-56
BTNL3,-2.670626577,4.17025601,NA,5.20E-58,2.01E-56
AC095031.1,-2.075083696,-1.727027114,NA,6.65E-58,2.56E-56
ADAMTSL1,-2.123982857,2.284261441,NA,6.66E-58,2.56E-56
FENDRR,-2.045859669,3.787311217,NA,6.75E-58,2.59E-56
SALL2,-2.26115792,1.32067435,NA,7.06E-58,2.71E-56
AKR1B10,-3.071425845,4.672968613,NA,7.28E-58,2.79E-56
ZNF667-AS1,-1.964126986,0.823246547,NA,7.93E-58,3.04E-56
ELMSAN1,-1.098596988,5.387621203,NA,1.00E-57,3.83E-56
CTSG,-3.345781962,0.554878448,NA,1.06E-57,4.05E-56
SLC22A23,-1.474779201,5.388865182,NA,1.22E-57,4.65E-56
TCF7L1,-1.541561945,2.688231047,NA,1.27E-57,4.83E-56
ANO5,-3.161211453,1.31647093,NA,1.46E-57,5.52E-56
MPEG1,-2.081774155,4.818239034,NA,1.50E-57,5.68E-56
ASB5,-4.727172588,-0.599070026,NA,1.99E-57,7.50E-56
NCOA4,-1.025004871,7.49538486,NA,2.15E-57,8.13E-56
SUGCT,-2.004740202,1.699254229,NA,2.40E-57,9.06E-56
MMP27,-3.855782606,-3.376184287,NA,2.52E-57,9.48E-56
TENT5C,-2.016335391,4.899178486,NA,2.52E-57,9.48E-56
FABP2,-3.133580872,3.580578578,NA,3.05E-57,1.14E-55
CEND1,-2.330743693,-1.265687687,NA,3.29E-57,1.23E-55
FOXD3,-3.477512369,-2.002626766,NA,3.36E-57,1.26E-55
PLS1,-1.43373957,7.696261189,NA,3.62E-57,1.35E-55
AL132642.1,-3.130200405,-2.755190116,NA,4.12E-57,1.53E-55
CREB3L3,-3.609835595,2.069260184,NA,4.34E-57,1.61E-55
TMEM59L,-2.900924926,-0.429375608,NA,5.18E-57,1.92E-55
ADAMTS1,-2.026193584,4.745097523,NA,5.48E-57,2.03E-55
KY,-2.648761033,-1.870479142,NA,5.66E-57,2.10E-55
GALNT16,-2.675748168,0.68048487,NA,5.98E-57,2.21E-55
EDN2,-2.730191902,0.609091583,NA,7.92E-57,2.92E-55
ARHGEF37,-1.585940365,3.787425448,NA,1.02E-56,3.77E-55
CCDC152,-2.397175801,0.831037759,NA,1.11E-56,4.09E-55
MFSD4A,-2.279223403,4.049766732,NA,1.56E-56,5.72E-55
VIP,-3.33801244,3.183130649,NA,1.74E-56,6.39E-55
TMEM238L,-1.86321191,4.632865049,NA,2.05E-56,7.50E-55
MAPK10,-2.048060881,1.048244128,NA,2.08E-56,7.59E-55
ADAMTS9-AS2,-2.8176204,-1.299380358,NA,2.30E-56,8.38E-55
TCN2,-1.731262903,4.6542183,NA,2.62E-56,9.54E-55
CHL1-AS2,-2.901003479,-3.305625331,NA,3.09E-56,1.12E-54
MTDHP3,-3.697485448,-3.599394615,NA,3.61E-56,1.31E-54
RBKS,-1.26991358,2.331760891,NA,4.23E-56,1.54E-54
CYBRD1,-2.093943263,5.664771905,NA,6.04E-56,2.19E-54
MGLL,-1.413582886,7.519247303,NA,7.59E-56,2.74E-54
PRKACB,-2.001173718,5.841032309,NA,7.72E-56,2.79E-54
NR1H4,-3.71085166,1.166277109,NA,1.12E-55,4.02E-54
CPT1A,-1.20563747,7.289129067,NA,1.15E-55,4.14E-54
GPX3,-2.289263408,5.299818451,NA,1.23E-55,4.40E-54
MYO1A,-1.932659091,6.545182515,NA,1.25E-55,4.50E-54
RCSD1,-1.739572064,3.176088398,NA,1.34E-55,4.80E-54
AC011306.1,-3.211492455,-3.336340375,NA,1.49E-55,5.33E-54
AL122003.1,-3.505601555,-3.533413762,NA,1.51E-55,5.38E-54
MASP1,-3.274220303,2.665791526,NA,1.55E-55,5.53E-54
MOGAT2,-2.768607404,4.818177813,NA,1.60E-55,5.70E-54
P2RX4,-1.300359423,5.459788847,NA,1.77E-55,6.30E-54
AL353801.1,-2.912577692,-3.171737095,NA,2.00E-55,7.10E-54
GRIA4,-2.725123883,-1.222243815,NA,2.01E-55,7.13E-54
UGT2B17,-4.082384347,6.158021298,NA,2.44E-55,8.64E-54
HSD17B11,-1.329202926,6.847199232,NA,3.06E-55,1.08E-53
B3GALT4,-1.479369064,3.58861943,NA,3.23E-55,1.14E-53
TTLL6,-2.25200779,1.430518647,NA,4.16E-55,1.46E-53
CNTFR,-3.714198113,1.494540289,NA,4.47E-55,1.57E-53
ATCAY,-3.218733132,-1.670266736,NA,5.64E-55,1.98E-53
C7orf31,-1.665063522,2.5217047,NA,6.82E-55,2.39E-53
TLCD2,-1.474099052,4.306478322,NA,6.95E-55,2.43E-53
CLDN8,-5.069719077,2.820170836,NA,7.15E-55,2.50E-53
AL513217.1,-3.211217736,-3.180167715,NA,8.27E-55,2.89E-53
DES,-3.727278994,8.412145912,NA,9.24E-55,3.22E-53
JAZF1-AS1,-2.807596119,-3.242484788,NA,9.49E-55,3.30E-53
GSTA1,-3.683769603,1.902137295,NA,1.13E-54,3.94E-53
RIC3,-2.99166557,-0.883251159,NA,1.18E-54,4.09E-53
LRCH2,-2.333026923,0.754987479,NA,1.28E-54,4.45E-53
AC092652.2,-3.958066604,-3.247053197,NA,1.43E-54,4.94E-53
JAZF1,-1.797722583,2.797204739,NA,1.44E-54,4.96E-53
DUSP26,-2.695241061,-1.154740799,NA,2.39E-54,8.23E-53
GNA13,-1.085530702,6.173390922,NA,3.13E-54,1.08E-52
CD209,-2.306732957,2.946041708,NA,3.80E-54,1.30E-52
NEURL1B,-1.43816224,5.97444717,NA,4.57E-54,1.57E-52
AC016888.1,-2.048697378,0.765689665,NA,5.47E-54,1.87E-52
STAB2,-2.158240255,0.002405059,NA,6.75E-54,2.31E-52
GAB1,-1.201963083,4.757619482,NA,6.93E-54,2.36E-52
NDRG2,-1.409156114,6.332116783,NA,8.14E-54,2.78E-52
CYP3A4,-3.98298638,2.147960595,NA,9.13E-54,3.11E-52
RCAN1,-1.279378619,5.337822408,NA,1.11E-53,3.78E-52
NPAS4,-2.770064735,-2.519118125,NA,1.14E-53,3.88E-52
ANKRD35,-1.92361294,0.203653052,NA,1.18E-53,4.00E-52
SLC35F1,-2.175856358,-0.340362082,NA,1.33E-53,4.51E-52
F2RL1,-1.293482384,6.661919725,NA,1.39E-53,4.72E-52
ZBTB16,-3.324821027,0.229993232,NA,1.62E-53,5.49E-52
PLCG2,-1.857369458,3.572814037,NA,1.82E-53,6.15E-52
SHE,-1.826599711,1.899924321,NA,1.83E-53,6.18E-52
ASTN1,-3.563650361,-1.609960178,NA,2.01E-53,6.78E-52
