"","logFC","logCPM","PValue","FDR"
"SIPA1L2",-1.27627798768708,5.35512873328032,4.17513107613133e-36,6.94236400464301e-35
"MAP1A",-1.75359984028284,3.89211202136105,4.51802698645647e-36,7.504628106368e-35
"RGL1",-1.29965584373273,3.85396171919037,5.06089291468233e-36,8.40193325557324e-35
"PIP5K1B",-1.08776012997992,5.69655692185748,5.40784098272888e-36,8.96379434246347e-35
"PDE4D",-1.43160450097268,4.20251282081796,5.79258069528988e-36,9.58643278712903e-35
"NPY6R",-3.34466083244628,0.345730946897083,5.90305886700558e-36,9.76415386310509e-35
"CALY",-2.67447011258533,-1.54158324212025,7.25980121375231e-36,1.19957583549203e-34
"AC016355.1",-1.2828137431755,0.197786663433316,7.45300210080634e-36,1.23085569979495e-34
"PLD1",-1.14577267542687,5.01603050230254,7.54191183585244e-36,1.24423822783335e-34
"PCDH11Y",-3.50955016791743,-3.65541348949636,7.62084937678935e-36,1.25660487662268e-34
