"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RPS14",1.1360202940979,9.47040668422638,9.36952211179881,1.01343079464621e-07,1.12061788298354e-05,8.17048218866946
"PUM3",1.21398694637218,7.83110650952728,9.31289776753936,1.09728373444821e-07,1.18784117368198e-05,8.09174848730358
"UTP20",1.02318344609833,5.45875655472847,9.26718714375662,1.17030754624302e-07,1.21789574259854e-05,8.02790830946216
"SORD",1.05394910862718,6.73947832231505,9.2308853293083,1.23194781804294e-07,1.23603325449137e-05,7.97702861566984
"TEAD4",1.46373286961476,7.17742316926192,9.20202551466694,1.28339241012125e-07,1.27231470721284e-05,7.93646532005051
"HILPDA",1.99619593310645,6.97834849202168,9.17284761680626,1.3377130811024e-07,1.29882286575489e-05,7.89535186833919
"POP1",1.04279643102103,5.92405672485146,9.1524579353806,1.37710859336583e-07,1.30347826455472e-05,7.86655987493554
"NUDCD1",1.49249574196806,6.10298077059767,9.09011255762537,1.50534277523431e-07,1.35022078639588e-05,7.77820687000529
"ASUN",1.12160351297892,7.03745208532452,9.07298517572188,1.54273349354534e-07,1.37070415492548e-05,7.75385108901532
"PAICS",1.28532831677926,8.46840552745521,9.05123184802484,1.5916402374697e-07,1.40094091182146e-05,7.72286489635534
"TGFBI",2.16251049324398,9.53787721174237,9.0320058839058,1.63622621532367e-07,1.41291001618674e-05,7.69543010490518
"PCID2",1.01188355593129,7.53697440969621,9.00404427202396,1.70343544375657e-07,1.4455766258678e-05,7.65544816768779
"LRP8",1.92451359922618,5.29103888996389,9.00391688922955,1.70374819995037e-07,1.4455766258678e-05,7.65526580289935
"SLC25A32",1.1439788040266,6.20551037802071,8.99159137793123,1.73429856482867e-07,1.45187767853835e-05,7.63761072666763
"TRAP1",1.15778797744741,9.46703632258134,8.95122706731186,1.83845451346876e-07,1.47987731691015e-05,7.5796605995666
"NOP2",1.04640604497704,5.99391635141051,8.92367317144693,1.91332740059221e-07,1.51426197132584e-05,7.53998543493589
"SLC38A5",1.6626435338549,7.03173330709043,8.91090357077977,1.94911020316765e-07,1.53612718773498e-05,7.52156616272251
"EBPL",1.20664821435919,9.74490821951314,8.90795410211384,1.95747501341723e-07,1.53629163969696e-05,7.51730885520117
"MTHFD1L",1.88160475214665,6.84687829843697,8.8636301525463,2.08784028040781e-07,1.56975628266371e-05,7.45319962089696
"CKAP2",1.41554051307999,5.12816827862871,8.82637388853059,2.20449404394529e-07,1.60945154309122e-05,7.39912186819828
"TXLNG",1.12179839436767,5.64681170586221,8.73623547892013,2.51606870678362e-07,1.7683832149618e-05,7.26755953765538
"SNORA84",1.06851293256868,4.20996039940126,8.689268875531,2.69649651344559e-07,1.84695303008223e-05,7.19859985949355
"RUVBL1",1.29293141458363,7.33416415171467,8.66954589351716,2.77628295513576e-07,1.84708988880047e-05,7.16955721529278
"ECT2",1.51274039451702,6.63972927286279,8.66566137570131,2.79228825995667e-07,1.84708988880047e-05,7.16383128693746
"KRT80",1.2580210697491,4.2344047238816,8.66220284330022,2.80662018427765e-07,1.84708988880047e-05,7.1587316513481
"LYAR",1.44430714382472,7.80376470412867,8.63606058392704,2.91749047366278e-07,1.88198118362713e-05,7.12013506938833
"SLC5A6",1.07216687892529,6.88905636641029,8.6108997714341,3.02856185875662e-07,1.92460878903355e-05,7.08290463351817
"ENC1",1.40107370053657,8.0557232901323,8.60954634437812,3.03466134180805e-07,1.92460878903355e-05,7.08089966116135
"SNHG1",1.28667967387886,6.41014487838822,8.57971428081898,3.17244316097914e-07,1.99187131267344e-05,7.03664640303188
"IPO5",1.16638340271791,7.97732172483248,8.57272672712734,3.20565833774104e-07,2.00603921759768e-05,7.02626438940393
"TOP1MT",1.52764232146054,6.8321934165014,8.51100857089504,3.51543730688877e-07,2.10881455772474e-05,6.93429018231271
"RRS1",1.5288242610615,9.05893936581792,8.48095240148562,3.67756506717367e-07,2.17354243296775e-05,6.88932071862708
"NOP56",1.29038947160845,9.90017836772651,8.42594881095111,3.99498715231493e-07,2.24777585294508e-05,6.80672071872811
"CLDN1",2.17573804069118,5.57736956158955,8.36168462130408,4.40274560614325e-07,2.4286412107803e-05,6.70971263019913
"TNFRSF12A",2.0607838119354,7.93004906886708,8.34907246686593,4.4877900011899e-07,2.4573259436748e-05,6.69061068520126
"MACC1",1.67698044127175,4.82515899963961,8.34155631108986,4.53929249891657e-07,2.47832213071283e-05,6.67921701451431
"HSPD1",1.10555316445863,8.72156161945238,8.32918164110247,4.62544637616705e-07,2.49798709129589e-05,6.6604421579642
"TMEM206",1.36372176271367,6.37374501682794,8.3256733194127,4.65018357181458e-07,2.49798709129589e-05,6.65511565835775
"DCAF13",1.32632156357507,6.94429458836298,8.32500926895183,4.65488144534327e-07,2.49798709129589e-05,6.65410728294249
"CKS2",1.77217149885702,9.05298866379347,8.24999926297847,5.21907579540205e-07,2.71564949398323e-05,6.53982789701351
"CRNDE",3.17430470721545,5.61376822434332,8.22715175115536,5.40488506991595e-07,2.79064836313633e-05,6.50487110534183
"GNL3",1.11301564111617,6.91683514840488,8.22394763093678,5.43149415773523e-07,2.79529027199729e-05,6.49996324311284
"ASCL2",2.7318134675779,8.20928172930839,8.20856735714429,5.56115427415471e-07,2.81585757817145e-05,6.47638573691155
