,logFC,logCPM,insert,PValue,FDR
KIF2C,1.4400667,5.278844932,NA,2.69E-39,5.16E-38
CDK2,1.008653421,5.349744896,NA,2.73E-39,5.22E-38
NAT10,1.095385129,6.589064196,NA,3.18E-39,6.06E-38
CDCA5,1.495503339,5.575598714,NA,3.29E-39,6.28E-38
LINC01979,3.171792746,1.157384285,NA,3.60E-39,6.86E-38
RAD54B,1.822194889,2.042542326,NA,3.86E-39,7.35E-38
PLXNA1,1.361458287,6.451069151,NA,4.21E-39,8.00E-38
NMB,1.885931078,2.841455839,NA,4.38E-39,8.31E-38
SLC5A6,1.871723792,6.942242424,NA,4.45E-39,8.43E-38
BBOX1-AS1,4.718626137,1.42367691,NA,4.49E-39,8.49E-38
WDR12,1.030137209,5.612600202,NA,4.56E-39,8.61E-38
BRCA2,2.001224169,4.095506825,NA,4.99E-39,9.42E-38
NELFCD,1.46932799,7.272637912,NA,5.26E-39,9.91E-38
CKAP2,1.525552877,5.838544358,NA,6.14E-39,1.16E-37
CENPI,1.563276913,3.115764346,NA,6.26E-39,1.18E-37
NPFFR1,3.349455689,2.066032573,NA,7.37E-39,1.38E-37
TTI1,1.233469133,5.540118838,NA,7.61E-39,1.43E-37
PUM3,1.145366147,5.643864483,NA,9.69E-39,1.81E-37
PHLDA1,2.480672612,7.29082408,NA,1.05E-38,1.96E-37
TARBP1,1.290625259,5.738873802,NA,1.45E-38,2.69E-37
BUB1,1.367153359,5.329247227,NA,1.56E-38,2.89E-37
AC116025.2,3.82612022,-2.161255039,NA,2.07E-38,3.83E-37
IMPDH1,1.637236214,6.656069939,NA,2.32E-38,4.27E-37
MSX1,3.404384715,2.914292655,NA,2.54E-38,4.68E-37
WDR77,1.377930266,5.845479771,NA,3.40E-38,6.23E-37
MTBP,1.713567617,2.977406785,NA,3.81E-38,6.97E-37
HSP90AB1,1.095176939,10.57921794,NA,3.89E-38,7.11E-37
AL356299.2,2.845882372,-1.107635812,NA,4.25E-38,7.75E-37
EIF3B,1.174471983,8.404446223,NA,4.27E-38,7.79E-37
CLDN2,5.572174245,7.335406535,NA,4.33E-38,7.89E-37
GALNT6,1.899227318,6.359019479,NA,4.85E-38,8.83E-37
AL355312.4,4.45115226,0.638829301,NA,5.14E-38,9.35E-37
NOP56,1.41691582,7.372055968,NA,7.25E-38,1.31E-36
YTHDF1,1.052946674,6.630891641,NA,7.39E-38,1.33E-36
BX890604.1,1.53233947,3.101883149,NA,7.79E-38,1.40E-36
STK31,3.732761037,1.798409423,NA,7.80E-38,1.40E-36
RHEBL1,1.687520939,1.088392401,NA,8.68E-38,1.56E-36
TRMT1,1.413688964,5.681945157,NA,8.85E-38,1.59E-36
UBE2S,1.858422935,5.339407316,NA,1.08E-37,1.93E-36
LINC01356,2.662810004,0.003026684,NA,1.08E-37,1.93E-36
SHISA2,3.124384051,2.015869292,NA,1.16E-37,2.07E-36
TTYH3,1.60718664,7.647265646,NA,1.26E-37,2.26E-36
CDCA7,1.687800902,7.271072169,NA,1.39E-37,2.47E-36
CENPP,1.048682944,2.606709826,NA,1.78E-37,3.16E-36
SPINDOC,1.442786347,4.666114099,NA,1.96E-37,3.48E-36
FEZF1,8.171451579,1.341285746,NA,2.27E-37,4.01E-36
PLEKHG4,2.102871194,5.42800111,NA,2.29E-37,4.05E-36
DGAT2,1.927714092,5.074199672,NA,2.30E-37,4.06E-36
AEN,1.32351599,5.574626002,NA,2.31E-37,4.08E-36
GDPD5,2.844699466,5.300944473,NA,2.36E-37,4.17E-36
SHCBP1,1.352491425,3.870810136,NA,3.13E-37,5.50E-36
CENPN,1.286719432,4.222924932,NA,3.70E-37,6.48E-36
JADE3,1.381025746,4.574865982,NA,4.26E-37,7.44E-36
RNFT2,1.961607115,2.119867127,NA,4.45E-37,7.78E-36
CDC45,1.662849233,4.480341783,NA,4.95E-37,8.64E-36
MELTF-AS1,1.896757901,1.310834125,NA,8.18E-37,1.42E-35
PAICS,1.25532049,7.720934934,NA,8.34E-37,1.45E-35
NEK2,1.411075136,4.782515682,NA,8.40E-37,1.46E-35
DHX34,1.395135617,5.333283386,NA,8.41E-37,1.46E-35
MYBL2,2.127385771,6.931578238,NA,8.46E-37,1.46E-35
PRMT3,1.234807875,4.7357819,NA,8.48E-37,1.47E-35
ABALON,1.863912521,0.435490657,NA,1.28E-36,2.19E-35
CENPA,1.431112111,3.573132782,NA,1.44E-36,2.47E-35
KLK8,8.544477984,1.516957125,NA,1.53E-36,2.61E-35
EXO1,1.527850089,3.851312162,NA,1.53E-36,2.61E-35
TRAP1,1.316669479,7.042524954,NA,1.53E-36,2.61E-35
SPATA33,1.287378424,3.549060224,NA,1.64E-36,2.80E-35
MRPL17,1.189888699,5.977218626,NA,1.68E-36,2.86E-35
