,logFC,logCPM,insert,PValue,FDR
TPM3P1,2.181604309,-3.206343861,NA,1.27E-05,2.64E-05
AC099535.1,1.289244217,-2.859463891,NA,1.27E-05,2.64E-05
RN7SL472P,2.133359218,-3.634268057,NA,1.28E-05,2.65E-05
AC109597.1,3.02524427,-3.323940528,NA,1.28E-05,2.66E-05
FCAR,1.415490478,-0.693812855,NA,1.28E-05,2.66E-05
BNIP3P8,2.72982647,-3.515507792,NA,1.29E-05,2.67E-05
RPS27AP7,2.781058855,-2.90474972,NA,1.29E-05,2.68E-05
AC078950.1,2.882958905,-3.502645425,NA,1.30E-05,2.69E-05
AC020658.1,1.385248639,-3.345839228,NA,1.30E-05,2.69E-05
RPS29P17,1.071067426,-2.512805923,NA,1.30E-05,2.70E-05
AC048382.1,1.095640175,-3.059345919,NA,1.30E-05,2.70E-05
FAM86MP,1.395512889,-2.610787092,NA,1.30E-05,2.70E-05
AL137918.1,1.171865038,-3.156442773,NA,1.31E-05,2.70E-05
AL450344.3,1.683485189,-3.013458969,NA,1.31E-05,2.70E-05
MIR3945HG,1.487015103,-2.474342794,NA,1.31E-05,2.71E-05
AL031864.2,1.162670986,-3.440771304,NA,1.31E-05,2.71E-05
AC007000.2,1.663474026,-2.696040287,NA,1.33E-05,2.75E-05
RPL23AP52,1.58886215,-3.343692092,NA,1.33E-05,2.75E-05
RN7SL434P,3.004446326,-3.117036286,NA,1.33E-05,2.76E-05
NPM1P12,1.057222029,-3.252104927,NA,1.34E-05,2.76E-05
OR1N2,3.549472534,-3.302443069,NA,1.35E-05,2.79E-05
SELENOKP1,1.085595972,-3.405881963,NA,1.36E-05,2.81E-05
TAS2R19,1.467101404,-2.141782312,NA,1.36E-05,2.82E-05
AC008080.4,1.927268363,-3.023935157,NA,1.37E-05,2.82E-05
KCNS1,1.29545193,-1.777965736,NA,1.37E-05,2.82E-05
CR392039.3,2.609610888,-3.659200224,NA,1.37E-05,2.83E-05
AL049820.1,2.939630985,-3.393016448,NA,1.37E-05,2.83E-05
PLEKHD1,1.085088597,-2.48964649,NA,1.38E-05,2.85E-05
RPS20P15,2.631098886,-3.061500882,NA,1.38E-05,2.85E-05
RNU1-52P,3.65556363,-3.518859426,NA,1.38E-05,2.86E-05
AC023632.1,1.264055337,-3.536381059,NA,1.39E-05,2.86E-05
SLC17A2,4.338072584,-2.352820934,NA,1.39E-05,2.87E-05
AP005432.1,1.96521866,-2.255049843,NA,1.39E-05,2.87E-05
MTND4P14,3.098655282,-2.887948735,NA,1.39E-05,2.87E-05
NAV2-AS3,2.490533619,-3.650174664,NA,1.39E-05,2.88E-05
AC093382.1,1.173912755,-3.491633828,NA,1.40E-05,2.89E-05
AL590729.1,1.082522087,-2.889818517,NA,1.40E-05,2.89E-05
HNRNPA3P7,1.796419138,-3.050576251,NA,1.40E-05,2.89E-05
MAS1,1.840359692,-3.623725763,NA,1.41E-05,2.92E-05
AC100800.1,3.926337072,-2.543189006,NA,1.41E-05,2.92E-05
RPS3P2,1.642508656,-2.812308588,NA,1.42E-05,2.92E-05
RPL23AP50,2.513602078,-3.316110668,NA,1.42E-05,2.93E-05
AC093567.1,1.887250625,-3.138108854,NA,1.43E-05,2.94E-05
PRH2,1.674263607,-2.559279203,NA,1.43E-05,2.94E-05
LINC02280,1.000721153,-2.576116457,NA,1.43E-05,2.94E-05
AC097381.3,1.18644009,-3.194783399,NA,1.43E-05,2.95E-05
YBX1P7,3.079240544,-3.534973361,NA,1.43E-05,2.95E-05
RPSAP6,1.310561801,-2.960930539,NA,1.43E-05,2.96E-05
AC023509.5,2.487731627,-3.04365124,NA,1.44E-05,2.97E-05
EIF4BP8,1.159623211,-3.393634069,NA,1.44E-05,2.97E-05
PPIAP43,1.461695803,-2.500472645,NA,1.44E-05,2.97E-05
AC107958.2,2.895776247,-3.71187635,NA,1.44E-05,2.97E-05
SUMO2P14,3.246841212,-3.651962531,NA,1.46E-05,3.01E-05
Z99127.1,2.694884727,-2.790503954,NA,1.47E-05,3.02E-05
AC129510.2,1.765090374,-3.651556937,NA,1.47E-05,3.03E-05
EIF2S2P5,2.759789327,-3.386690588,NA,1.47E-05,3.04E-05
AL583808.1,2.693667843,-3.306803982,NA,1.48E-05,3.04E-05
SSTR5-AS1,1.889731897,1.124063964,NA,1.48E-05,3.04E-05
AC120349.2,3.588263521,-3.311234073,NA,1.48E-05,3.04E-05
GAPDHP73,1.022563326,-2.786828634,NA,1.48E-05,3.04E-05
AC064874.1,3.299103519,-2.929005818,NA,1.48E-05,3.05E-05
RNU6-1327P,2.732203908,-3.31534311,NA,1.48E-05,3.05E-05
TMEM215,1.558230322,-3.130023568,NA,1.49E-05,3.07E-05
AC027279.4,3.633300442,-2.800161446,NA,1.49E-05,3.07E-05
RGS21,2.517237745,-3.669650475,NA,1.52E-05,3.12E-05
AC007066.1,1.466505592,-2.956483094,NA,1.52E-05,3.12E-05
AL118508.3,1.406342168,-3.415864793,NA,1.52E-05,3.12E-05
AC048337.1,1.107652798,-3.434881394,NA,1.52E-05,3.12E-05
AC079331.2,1.395699791,-2.671167349,NA,1.52E-05,3.13E-05
MSH4,1.419433973,-1.441360219,NA,1.52E-05,3.13E-05
ZBTB8OSP1,2.91241323,-3.541360346,NA,1.53E-05,3.14E-05
CCDC83,2.119739474,-3.23249217,NA,1.53E-05,3.14E-05
AC023813.2,3.472870678,-2.889364957,NA,1.53E-05,3.14E-05
NRCAM,1.203520644,2.324177625,NA,1.53E-05,3.14E-05
RN7SKP133,3.298157394,-3.62955315,NA,1.53E-05,3.15E-05
EEF1DP3,1.244106228,-2.247742669,NA,1.53E-05,3.15E-05
AC002381.1,3.181715822,-3.404633736,NA,1.53E-05,3.15E-05
AC130650.1,2.991059493,-3.469798234,NA,1.54E-05,3.17E-05
RNU1-139P,3.578241771,-3.551006064,NA,1.54E-05,3.17E-05
SEC13P1,1.341112523,-3.06582631,NA,1.55E-05,3.18E-05
MIR548XHG,3.156344074,-3.541382449,NA,1.55E-05,3.18E-05
RPAP2P1,3.163803866,-3.017505515,NA,1.55E-05,3.19E-05
DIO3,1.441576643,2.975450336,NA,1.56E-05,3.19E-05
HBZ,3.876385498,-2.704939858,NA,1.56E-05,3.21E-05
AC010280.2,1.324417923,-2.545780925,NA,1.57E-05,3.21E-05
RNU1-16P,2.160387468,-3.215734864,NA,1.57E-05,3.21E-05
AC079316.1,2.41662346,-3.346446511,NA,1.57E-05,3.23E-05
AP005131.4,2.863792123,-2.687490365,NA,1.57E-05,3.23E-05
MTND1P3,2.599453484,-3.616199587,NA,1.58E-05,3.23E-05
AC027627.1,1.995154232,-3.526872403,NA,1.59E-05,3.25E-05
MTND1P32,3.544878568,-3.133979554,NA,1.59E-05,3.25E-05
AC097532.2,1.142100217,-3.129471807,NA,1.59E-05,3.25E-05
RNU6-681P,3.404897715,-3.367198906,NA,1.59E-05,3.26E-05
LINC00311,1.655352963,-3.551957435,NA,1.59E-05,3.26E-05
AC092910.1,2.750055178,-2.730021852,NA,1.59E-05,3.26E-05
AC113143.1,1.963455674,-2.741803124,NA,1.60E-05,3.27E-05
AC244093.3,2.335659416,-3.46278893,NA,1.60E-05,3.27E-05
AC022173.1,3.156092784,-2.947598477,NA,1.60E-05,3.28E-05
AC002558.3,2.837162117,-3.115345705,NA,1.60E-05,3.28E-05
INO80-AS1,1.412966934,-3.219462091,NA,1.60E-05,3.28E-05
SERPINE3,1.193968513,-2.072662134,NA,1.61E-05,3.29E-05
AC002401.1,1.302600345,-3.601179744,NA,1.61E-05,3.29E-05
AL121845.4,1.063280746,-2.645656001,NA,1.61E-05,3.29E-05
SNRPFP4,1.512640486,-3.648742468,NA,1.61E-05,3.29E-05
Z99127.2,2.843271827,-3.181651888,NA,1.61E-05,3.29E-05
RN7SL221P,1.083132815,-3.301884714,NA,1.61E-05,3.30E-05
SHANK2-AS1,2.2269086,-2.747706025,NA,1.61E-05,3.30E-05
SLC1A7,1.363975755,3.030115069,NA,1.62E-05,3.31E-05
CNDP1,1.754336378,-1.096950065,NA,1.62E-05,3.31E-05
AC006026.1,1.488821418,-3.473426827,NA,1.63E-05,3.33E-05
AC004221.1,1.339547742,-3.515993156,NA,1.63E-05,3.33E-05
EEF1B2P7,1.455789903,-2.760263277,NA,1.64E-05,3.35E-05
GUCA1A,1.310515706,-2.431913893,NA,1.65E-05,3.36E-05
ANP32D,1.241787036,-3.437180524,NA,1.65E-05,3.37E-05
WFDC8,2.541528147,-3.521996651,NA,1.65E-05,3.37E-05
MTND3P12,3.311340869,-3.614144907,NA,1.65E-05,3.37E-05
AC013394.1,1.420389889,0.232424424,NA,1.66E-05,3.39E-05
FNTAP2,2.211474772,-3.202607733,NA,1.66E-05,3.39E-05
NAA11,2.558084313,-3.381717044,NA,1.66E-05,3.40E-05
RPS12P17,1.881315772,-3.459204803,NA,1.67E-05,3.41E-05
S100A9,1.040855688,5.257843638,NA,1.67E-05,3.41E-05
AC104058.1,2.549002895,-3.059415253,NA,1.68E-05,3.43E-05
EPO,1.480939333,-3.115084645,NA,1.68E-05,3.43E-05
INS,2.997445446,-3.61204214,NA,1.68E-05,3.43E-05
AC005480.1,1.488767356,-2.137348856,NA,1.69E-05,3.45E-05
TMEM190,1.09347998,-2.681785615,NA,1.70E-05,3.46E-05
BNIP3P1,1.51070079,-2.882830325,NA,1.70E-05,3.46E-05
RTP3,2.432797939,-3.038044197,NA,1.70E-05,3.46E-05
AC023389.1,1.746960986,-2.724023947,NA,1.70E-05,3.47E-05
AC135626.1,3.289823443,-3.444711229,NA,1.71E-05,3.48E-05
RNY1P4,2.076291471,-3.536643696,NA,1.71E-05,3.49E-05
CR786580.1,1.370976286,-3.127895953,NA,1.71E-05,3.49E-05
AC005740.1,1.064859443,-2.971143105,NA,1.72E-05,3.50E-05
AC092868.2,2.582205915,-2.290533956,NA,1.74E-05,3.54E-05
AL137077.1,2.339314269,-3.086266328,NA,1.74E-05,3.54E-05
MARK2P9,1.003377136,-2.961971827,NA,1.75E-05,3.55E-05
RPL32P31,1.317953913,-3.347361293,NA,1.75E-05,3.55E-05
AL391427.1,1.298901199,-3.13695434,NA,1.75E-05,3.56E-05
HNRNPMP1,2.385961159,-3.139915725,NA,1.76E-05,3.58E-05
AC096915.1,1.131369192,-3.247267004,NA,1.77E-05,3.60E-05
AL645949.1,1.413554642,-3.463885568,NA,1.78E-05,3.61E-05
NRBF2P5,1.146581526,-1.654862432,NA,1.78E-05,3.61E-05
AC092910.2,3.412044228,-3.29886593,NA,1.78E-05,3.63E-05
LINC00244,1.171596919,-2.452798049,NA,1.79E-05,3.63E-05
AC068506.1,1.543330653,-3.644467267,NA,1.80E-05,3.65E-05
GOLGA2P11,3.161642972,-3.465166606,NA,1.80E-05,3.66E-05
AC097478.3,2.441366873,-3.610353468,NA,1.81E-05,3.67E-05
CPA5,1.537510748,-2.524951371,NA,1.82E-05,3.69E-05
AC020910.3,1.868893035,-3.11835207,NA,1.85E-05,3.75E-05
AC087286.4,2.649326299,-2.413434709,NA,1.85E-05,3.76E-05
AL390754.1,2.953691082,-3.364902197,NA,1.85E-05,3.76E-05
RN7SL7P,3.579811271,-3.021810535,NA,1.86E-05,3.77E-05
DRC1,1.285726924,-2.390406513,NA,1.86E-05,3.77E-05
AC022150.4,1.102686295,0.456675955,NA,1.87E-05,3.80E-05
CDY4P,2.897521042,-3.714737911,NA,1.88E-05,3.80E-05
AC010536.2,1.397182123,-1.972094106,NA,1.88E-05,3.81E-05
U40455.1,1.197621755,-3.021785076,NA,1.88E-05,3.81E-05
RPL7AP65,2.154503324,-3.388334709,NA,1.88E-05,3.82E-05
AC020913.2,1.255466262,-3.601262297,NA,1.88E-05,3.82E-05
AC004943.3,1.188790513,-3.232596063,NA,1.89E-05,3.82E-05
AC022540.1,2.232184796,-3.036702291,NA,1.90E-05,3.84E-05
APOC4-APOC2,1.349246496,-2.532935731,NA,1.90E-05,3.85E-05
AL353572.2,1.048232254,-3.04470537,NA,1.90E-05,3.85E-05
AC244093.1,1.15719143,-3.306179581,NA,1.90E-05,3.85E-05
LINC01606,2.489988161,-3.316667816,NA,1.90E-05,3.85E-05
AC113361.1,1.239250449,-3.343013859,NA,1.91E-05,3.86E-05
AC112719.2,2.075025821,-3.416027911,NA,1.91E-05,3.86E-05
AC007684.1,1.633762951,-2.552186937,NA,1.92E-05,3.90E-05
MZT1P1,2.787360227,-3.498353101,NA,1.93E-05,3.90E-05
ETF1P1,1.574261923,-3.198697292,NA,1.94E-05,3.94E-05
AC092435.4,3.422829664,-3.362290382,NA,1.95E-05,3.95E-05
LINC00939,1.885845514,-2.017995168,NA,1.96E-05,3.97E-05
C8orf37-AS1,1.043208359,-2.718648531,NA,1.98E-05,4.00E-05
AL512444.1,2.311505318,-3.161831138,NA,1.99E-05,4.02E-05
AL021920.2,1.576311901,-2.839645682,NA,1.99E-05,4.03E-05
AC099811.5,1.936775303,-2.798527302,NA,2.00E-05,4.04E-05
DAZ1,3.480951449,-3.571261578,NA,2.00E-05,4.04E-05
AL807757.1,3.127710146,-3.260345396,NA,2.00E-05,4.04E-05
AL031428.1,2.832333427,-3.565144995,NA,2.02E-05,4.08E-05
KRT18P35,1.136802064,-3.350603068,NA,2.02E-05,4.08E-05
SNORA11B,2.771290768,-3.366794636,NA,2.03E-05,4.09E-05
MUC7,2.826562078,-2.969423996,NA,2.03E-05,4.10E-05
AL606517.1,3.419034212,-3.107853108,NA,2.04E-05,4.12E-05
CDH7,1.816669025,-1.573086788,NA,2.04E-05,4.12E-05
LINC01413,2.600872459,-3.031286323,NA,2.04E-05,4.12E-05
AC082651.3,1.163672221,-2.091935404,NA,2.05E-05,4.13E-05
AL034418.1,2.36915395,-2.8223951,NA,2.05E-05,4.14E-05
AL391863.2,3.640637148,-2.298298539,NA,2.06E-05,4.15E-05
AP002381.1,1.100991435,-2.817935397,NA,2.06E-05,4.15E-05
AC015921.1,1.482515384,-2.877662633,NA,2.06E-05,4.16E-05
AC244131.1,3.121381032,-3.506428548,NA,2.06E-05,4.16E-05
MRLN,2.433921524,-0.962871856,NA,2.06E-05,4.16E-05
AC004865.1,3.269804354,-3.075418609,NA,2.07E-05,4.17E-05
AL590632.1,2.881180318,-3.274294934,NA,2.08E-05,4.19E-05
AC019070.1,3.046142817,-3.360499754,NA,2.09E-05,4.21E-05
AC110749.1,1.070658059,-2.21828606,NA,2.09E-05,4.22E-05
RNU6-107P,2.967357938,-3.218693969,NA,2.09E-05,4.22E-05
STARD13-AS,1.666409436,-0.363164083,NA,2.10E-05,4.24E-05
MRPS17P1,1.436642041,-3.441178998,NA,2.11E-05,4.24E-05
AC068658.1,1.472599625,-2.814809584,NA,2.12E-05,4.28E-05
AL391903.1,1.889700878,-3.570378449,NA,2.13E-05,4.29E-05
AL354733.2,1.461459997,-2.595181478,NA,2.13E-05,4.29E-05
AC130895.1,3.607393034,-2.651516595,NA,2.13E-05,4.29E-05
RN7SL57P,2.951708128,-3.278551413,NA,2.13E-05,4.29E-05
RPL17P26,1.175727398,-2.995656762,NA,2.14E-05,4.30E-05
CCT4P2,2.311358933,-3.082714283,NA,2.15E-05,4.32E-05
AL365258.2,1.016333255,-2.470563722,NA,2.15E-05,4.32E-05
AC114730.1,1.023475397,-3.395411377,NA,2.16E-05,4.34E-05
AP003721.1,1.415483717,-3.635653426,NA,2.16E-05,4.34E-05
SNORD3B-1,2.182304842,-3.018528593,NA,2.16E-05,4.34E-05
MIR1249,1.101482356,-3.367780065,NA,2.16E-05,4.35E-05
AC112206.2,1.149493684,-2.704952253,NA,2.18E-05,4.38E-05
FAM196B,1.613475505,-2.214108269,NA,2.19E-05,4.40E-05
AC007298.1,1.763408207,-3.559164572,NA,2.19E-05,4.40E-05
TIMM9P1,2.934306523,-3.632085254,NA,2.19E-05,4.41E-05
AP002784.1,1.407025744,-3.438821133,NA,2.19E-05,4.41E-05
AL078459.1,1.370244065,-1.200204173,NA,2.20E-05,4.41E-05
METTL21EP,1.012727665,-2.249812581,NA,2.20E-05,4.42E-05
NPIPB10P,1.101897087,-2.975232969,NA,2.22E-05,4.45E-05
RNA5SP160,2.452413671,-3.588972786,NA,2.22E-05,4.46E-05
LURAP1L-AS1,1.435681962,-2.864911577,NA,2.23E-05,4.47E-05
AC016746.1,2.017727725,-1.865843843,NA,2.23E-05,4.47E-05
BARX1,1.889259795,-0.375651298,NA,2.24E-05,4.49E-05
HIGD1AP16,2.014704705,-3.253910361,NA,2.24E-05,4.49E-05
MIR4635,1.035475507,-2.675574704,NA,2.26E-05,4.52E-05
KNDC1,1.155088959,0.458986286,NA,2.26E-05,4.53E-05
AC002558.1,1.267180021,-3.117133316,NA,2.26E-05,4.53E-05
LINC02435,1.300258987,-3.475827061,NA,2.26E-05,4.53E-05
PPIAP47,1.234275337,-3.567689789,NA,2.27E-05,4.54E-05
RN7SL566P,1.18277321,-2.739182019,NA,2.27E-05,4.55E-05
AC009145.4,1.667075552,-3.248508754,NA,2.28E-05,4.56E-05
AC106707.2,2.746408735,-3.581283739,NA,2.28E-05,4.56E-05
AC087286.1,3.612796067,-2.724637799,NA,2.28E-05,4.57E-05
AL023755.1,1.741319776,-3.202681986,NA,2.28E-05,4.57E-05
AL135903.1,1.282512022,-3.414462177,NA,2.29E-05,4.58E-05
AP003555.1,2.571864062,-3.163532031,NA,2.29E-05,4.59E-05
TMEM272,1.116589035,-2.245302366,NA,2.30E-05,4.60E-05
AL137779.3,2.982935006,-3.290882488,NA,2.30E-05,4.60E-05
CACNA1E,1.470241814,0.549056149,NA,2.31E-05,4.63E-05
ZNF479,3.253721489,-3.513653311,NA,2.32E-05,4.63E-05
AC015911.4,1.120034194,-3.20432925,NA,2.32E-05,4.64E-05
LCE3D,3.064059939,-3.704487054,NA,2.32E-05,4.64E-05
AC025031.3,2.017883818,-3.318897851,NA,2.32E-05,4.65E-05
AC106799.2,2.755304377,-3.696893325,NA,2.33E-05,4.67E-05
KRT18P36,1.214625435,-3.447674401,NA,2.34E-05,4.67E-05
AC012150.2,2.627138047,-2.627947191,NA,2.34E-05,4.68E-05
LINC01346,1.868141935,-3.34316382,NA,2.34E-05,4.68E-05
AC009108.5,1.251404012,-3.407295215,NA,2.35E-05,4.70E-05
AC008957.3,2.048739269,-2.545385316,NA,2.35E-05,4.70E-05
AC027763.1,2.016340325,-3.499548789,NA,2.35E-05,4.70E-05
RPS29P8,1.950983008,-2.932660495,NA,2.36E-05,4.72E-05
MACROD2-IT1,2.563869895,-3.614929271,NA,2.37E-05,4.74E-05
DCDC2B,1.099472882,-1.908087141,NA,2.37E-05,4.74E-05
SHANK2-AS2,2.338533,-3.439817887,NA,2.37E-05,4.74E-05
RPL29P33,1.113061486,-2.178680064,NA,2.38E-05,4.76E-05
RPS15AP29,2.446030051,-2.943410501,NA,2.39E-05,4.77E-05
AF107885.1,2.410018699,-3.570531538,NA,2.40E-05,4.78E-05
WWP1P1,1.064932518,-2.941270143,NA,2.40E-05,4.79E-05
AL078644.1,2.112702425,-3.569398924,NA,2.44E-05,4.87E-05
RCC2P4,2.443224329,-3.642503922,NA,2.45E-05,4.88E-05
SLC38A8,2.153153506,-2.948640695,NA,2.45E-05,4.89E-05
AL133373.2,1.352886077,-1.533129972,NA,2.46E-05,4.91E-05
ATP5PDP4,1.111898696,-0.590407934,NA,2.46E-05,4.91E-05
FTH1P24,2.567656914,-3.395231494,NA,2.46E-05,4.91E-05
AL031668.1,2.744930204,-2.5477222,NA,2.47E-05,4.93E-05
SNORA70G,2.78373677,-3.017163066,NA,2.48E-05,4.94E-05
AC126544.1,1.305802809,-1.37229102,NA,2.48E-05,4.94E-05
AL133480.1,2.76837911,-3.396494684,NA,2.48E-05,4.94E-05
Z99127.3,2.714687755,-3.288565052,NA,2.50E-05,4.97E-05
AC111170.1,1.78253919,-2.774631136,NA,2.50E-05,4.98E-05
OR5M6P,1.654355212,-3.582899834,NA,2.51E-05,5.00E-05
RN7SL398P,2.868211212,-3.650291011,NA,2.52E-05,5.01E-05
HSPE1P13,3.21926293,-3.031866797,NA,2.53E-05,5.03E-05
HMGB3P9,2.494514562,-3.236212238,NA,2.54E-05,5.05E-05
ASH1L-IT1,2.396024995,-3.404191204,NA,2.54E-05,5.06E-05
TCF3P1,1.245413822,-3.205737256,NA,2.54E-05,5.06E-05
AC087620.1,1.913029653,-3.024212794,NA,2.55E-05,5.08E-05
AC009884.1,3.068879567,-3.234839057,NA,2.55E-05,5.08E-05
KRT18P29,1.109810856,-3.047658319,NA,2.56E-05,5.09E-05
AC092685.1,2.031555898,-3.580526145,NA,2.56E-05,5.10E-05
AC018463.1,2.229351139,-2.616209492,NA,2.57E-05,5.11E-05
RNU6-126P,2.123492488,-3.618123684,NA,2.58E-05,5.12E-05
XKR9,1.240620003,1.479890634,NA,2.58E-05,5.12E-05
AC138058.1,3.042390339,-2.862402292,NA,2.58E-05,5.13E-05
RNASE7,1.388246723,-1.13326855,NA,2.59E-05,5.16E-05
GPR52,2.585562742,-2.846592029,NA,2.62E-05,5.22E-05
AL023284.2,1.651309768,-3.228237953,NA,2.63E-05,5.23E-05
AC092135.1,2.322025455,-3.070737068,NA,2.64E-05,5.24E-05
AL583844.1,1.882738105,-3.689900626,NA,2.65E-05,5.27E-05
LINC01556,1.208719531,-1.986787966,NA,2.66E-05,5.28E-05
LINC02241,3.254568105,-3.447265501,NA,2.66E-05,5.29E-05
AC138466.4,2.107319733,-3.541675781,NA,2.66E-05,5.29E-05
AP000266.1,1.44979893,-3.271014658,NA,2.66E-05,5.29E-05
AC040978.1,2.510421698,-3.499631995,NA,2.67E-05,5.30E-05
C1GALT1P1,1.195231397,-2.921459406,NA,2.68E-05,5.31E-05
RNU2-11P,1.11182478,-2.740070576,NA,2.69E-05,5.34E-05
TUBA3C,2.868172414,-3.407334145,NA,2.73E-05,5.42E-05
TNRC18P2,1.199434147,-3.093055186,NA,2.74E-05,5.42E-05
RNA5SP383,1.208168305,-2.351191312,NA,2.74E-05,5.43E-05
FAM204BP,1.914692423,-3.580238908,NA,2.75E-05,5.45E-05
AC092683.1,1.044228773,-1.808206484,NA,2.75E-05,5.45E-05
AC015845.1,2.411933305,-3.440767474,NA,2.75E-05,5.45E-05
AC008427.1,1.225436477,-3.188555811,NA,2.75E-05,5.46E-05
AP002967.1,3.006757837,-3.623291156,NA,2.76E-05,5.47E-05
MYL6P1,1.683260912,-2.895100893,NA,2.77E-05,5.48E-05
AC027018.1,2.700143011,-2.791065962,NA,2.77E-05,5.49E-05
FAM155B,1.61630629,1.805891177,NA,2.77E-05,5.49E-05
AC092120.1,2.410674527,-3.562866972,NA,2.78E-05,5.50E-05
TMEM178B,1.361471014,2.546505073,NA,2.78E-05,5.51E-05
ARHGEF3-AS1,2.941937918,-3.652672891,NA,2.79E-05,5.52E-05
ECEL1P1,1.948896251,-3.44108436,NA,2.79E-05,5.53E-05
RNU6-942P,2.741024491,-3.228311186,NA,2.80E-05,5.54E-05
AC009318.4,1.214455722,-2.240037677,NA,2.80E-05,5.55E-05
AP000902.1,1.937048438,-2.05218814,NA,2.81E-05,5.56E-05
RNA5SP37,1.15648604,-2.39812133,NA,2.81E-05,5.57E-05
AC068657.1,1.799498699,-3.543144959,NA,2.82E-05,5.58E-05
AL356423.1,2.266449095,-3.076285944,NA,2.82E-05,5.58E-05
AC092104.1,2.511671,-3.207764448,NA,2.83E-05,5.60E-05
RPL23AP58,1.368428557,-3.080273889,NA,2.86E-05,5.65E-05
AC007494.2,2.553154239,-2.841871284,NA,2.86E-05,5.66E-05
AL831737.1,2.503591713,-3.589340173,NA,2.86E-05,5.66E-05
RNU6-606P,2.947577784,-3.564690024,NA,2.88E-05,5.68E-05
NPM1P19,1.385162694,-2.997180095,NA,2.88E-05,5.69E-05
MTATP6P2,1.74810534,-0.881046023,NA,2.89E-05,5.71E-05
SPDYE2,1.095167185,-2.074203563,NA,2.89E-05,5.71E-05
RPL7P59,1.041421358,-3.229105474,NA,2.90E-05,5.72E-05
RN7SL297P,2.934881918,-3.632010399,NA,2.90E-05,5.72E-05
MTND2P29,2.297870337,-3.541689058,NA,2.90E-05,5.73E-05
BOLL,2.06602099,-3.259614569,NA,2.90E-05,5.74E-05
KRT8P2,1.249874442,-2.555631355,NA,2.91E-05,5.74E-05
RN7SL480P,3.241950401,-3.334053393,NA,2.91E-05,5.75E-05
TTLL10-AS1,1.218480926,-2.600234768,NA,2.91E-05,5.75E-05
FAM157B,1.152210051,-3.339935598,NA,2.93E-05,5.78E-05
AC138393.3,1.165719545,-2.221305943,NA,2.97E-05,5.86E-05
AL360169.2,2.363375279,-3.543603009,NA,2.98E-05,5.88E-05
RNU6-387P,1.172071382,-3.116068078,NA,2.98E-05,5.88E-05
AC008109.1,3.067195945,-3.179596117,NA,2.98E-05,5.89E-05
AL512306.1,1.667610782,-3.136508776,NA,2.99E-05,5.89E-05
KRT18P42,1.271039099,-3.487995016,NA,3.00E-05,5.91E-05
PON1,2.204971606,-0.234159838,NA,3.03E-05,5.96E-05
AL109804.1,1.021732108,-2.820129435,NA,3.03E-05,5.97E-05
CFAP46,1.460294286,-1.245617122,NA,3.03E-05,5.97E-05
MED28P7,1.367936804,-3.452449647,NA,3.03E-05,5.98E-05
AC069079.1,3.333774197,-3.285982852,NA,3.04E-05,5.98E-05
RPL5P28,1.287656714,-3.083031412,NA,3.06E-05,6.02E-05
SOD3,1.00363975,6.762259969,NA,3.09E-05,6.08E-05
RPL17P17,3.255527992,-3.219272274,NA,3.09E-05,6.08E-05
AL049830.3,1.392949791,-2.756045813,NA,3.09E-05,6.08E-05
AC126773.1,1.214034205,-3.592431733,NA,3.10E-05,6.09E-05
AC092919.1,1.462218417,-3.410463882,NA,3.10E-05,6.09E-05
AC093752.2,1.426828342,-3.362011355,NA,3.10E-05,6.10E-05
RNU4-40P,2.750347624,-3.634691298,NA,3.11E-05,6.11E-05
PYDC1,2.111247063,-2.91235512,NA,3.12E-05,6.13E-05
RPL21P71,1.481204896,-3.557658592,NA,3.12E-05,6.14E-05
AC079035.1,2.462403708,-2.853687181,NA,3.13E-05,6.14E-05
AC099521.1,1.342524996,-3.197910506,NA,3.13E-05,6.15E-05
RPS18P6,1.654708561,-3.459632202,NA,3.13E-05,6.15E-05
TRAV30,1.330277159,-2.37254689,NA,3.13E-05,6.15E-05
DSCR4,2.907402421,-3.672165856,NA,3.13E-05,6.16E-05
AC105339.3,1.148637545,-2.526354477,NA,3.14E-05,6.16E-05
TUBA3E,2.104466663,-2.749759194,NA,3.14E-05,6.16E-05
RN7SL769P,3.189886879,-3.466397951,NA,3.14E-05,6.17E-05
MORF4L1P3,2.20190157,-2.582791541,NA,3.15E-05,6.18E-05
AL513327.3,1.236798699,-3.131914313,NA,3.16E-05,6.20E-05
AC008267.8,1.588827522,-3.635897417,NA,3.16E-05,6.21E-05
SLC35E1P1,1.016131394,-2.275475367,NA,3.17E-05,6.22E-05
ARHGAP26-IT1,2.811019061,-3.047248575,NA,3.17E-05,6.22E-05
AC007731.4,2.382007277,-3.184864243,NA,3.18E-05,6.24E-05
AP001011.1,2.775253902,-3.338962851,NA,3.18E-05,6.25E-05
CDH26,1.085965516,-0.25885175,NA,3.19E-05,6.25E-05
NDUFA8P1,3.075469597,-3.653265488,NA,3.19E-05,6.26E-05
AC007496.1,3.05511453,-2.908896312,NA,3.20E-05,6.28E-05
PHBP3,1.089314594,-2.815476702,NA,3.20E-05,6.28E-05
AC112493.1,2.412875554,-3.604686933,NA,3.20E-05,6.29E-05
AC084816.1,2.130682072,-3.670908956,NA,3.21E-05,6.29E-05
NDUFB4P2,2.907884329,-3.346960001,NA,3.21E-05,6.30E-05
PDHA1P1,3.023587611,-3.043265541,NA,3.23E-05,6.33E-05
