"","logFC","logCPM","PValue","FDR"
"AC073323.1",3.55716670638071,-3.34156950948218,1.90738072857657e-20,1.39911491427722e-19
"LAGE3P1",1.91409109524288,-2.19993642689393,1.94244236763034e-20,1.4245028254537e-19
"STX16",1.00155695681694,6.35533512235671,1.97299011375577e-20,1.44656942826377e-19
"MOCS3",1.04347789152881,4.57724218816688,2.01767478860958e-20,1.47864531655167e-19
"AC073335.2",1.55543175064061,2.93903105253343,2.02965414599315e-20,1.4870793931902e-19
"EXOSC4",1.4232084465688,5.30071639880994,2.04442443949659e-20,1.49720679918905e-19
"FAM71E1",1.41838037456815,1.74508593568151,2.15758610941239e-20,1.57861551539291e-19
"HABP2",6.73733013823778,1.54936107115441,2.1641994335107e-20,1.58272112738202e-19
"SNORD104",2.05954487766457,0.539899345513921,2.18737327192695e-20,1.59892836140648e-19
"RPL22L1",1.919698958354,5.94796728948861,2.23176357699002e-20,1.63062226382622e-19
"AL356234.1",2.86433637300665,-2.67572633521926,2.23971429932315e-20,1.63605303719113e-19
"PIWIL1",4.47945694315703,2.85204311647542,2.26862136080082e-20,1.65678582181647e-19
"KISS1",2.795227241798,-0.0599158102383391,2.27407421777068e-20,1.66038425611345e-19
"PCNA",1.09444568361475,7.54011243907501,2.43923501749231e-20,1.77809764438474e-19
"RPS19P1",3.76528078047014,0.916189754502707,2.51281313673102e-20,1.83046588491453e-19
"PAX9",2.74352161598741,1.18985389925296,2.59093627173204e-20,1.88650494659669e-19
"CAMKV",4.44186058636027,0.604133382247028,2.65991876259724e-20,1.93583997850114e-19
"TM4SF19",2.75979675331009,-1.61900315112562,2.71848564446006e-20,1.97755277378371e-19
"LINC00618",2.4206788048849,-2.44684796888468,2.73101849321174e-20,1.98621241381304e-19
"EDNRA",1.84843621397557,3.82202988618097,2.75158817124172e-20,1.99979123749803e-19
"BHLHE40",1.18667937035702,7.54215423632058,2.81851802512263e-20,2.04655113692713e-19
"FAM131C",2.58345664114882,-0.724094742599738,2.86238501724278e-20,2.07601767331844e-19
"PLEKHS1",1.75598039156737,5.0903435650609,2.90221447528761e-20,2.10393900683253e-19
"CTU1",1.81786410212137,3.11741117647953,2.99734175854901e-20,2.17140605773536e-19
"POLB",1.01674345064986,4.34754776402523,3.25245371933439e-20,2.35298306285622e-19
