"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC730101",1.46319102182189,6.01256903307015,7.06731776389586,1.32238698579977e-06,2.46849433922431e-05,5.45724726437148
"SCML1",1.0859006537004,6.60112261004386,7.06427684829551,1.33010294549238e-06,2.4785531615085e-05,5.45140857140292
"NT5C3B",1.28986471131959,8.78948389174246,7.06064145283298,1.33938863934985e-06,2.4914968235382e-05,5.44442675181358
"CKS1B",1.1973634159316,10.288778571575,7.04826369007833,1.37151176827367e-06,2.52479076512195e-05,5.42064124186269
"PAK1IP1",1.23002502287699,8.02927552197097,7.04520709232218,1.37956666539004e-06,2.53742576909693e-05,5.41476428348371
"LYPLA1",1.28852820814691,10.362414453251,7.03419660229918,1.40899099106113e-06,2.58044983426179e-05,5.3935834426895
"SMYD3",1.33321312069309,8.16053443796885,7.03188653120519,1.41524656312528e-06,2.58044983426179e-05,5.38913741475867
"TGIF2",1.36294501459138,6.48949628857432,7.02993815538304,1.42054506598075e-06,2.58379072248711e-05,5.38538693548529
"IFITM3",1.172471381185,12.0145614967164,7.02470260649785,1.43488499931731e-06,2.60098856174123e-05,5.37530626117936
"RFC4",1.38745981368226,8.44767674694718,7.01498643979768,1.46189625735922e-06,2.64096084694606e-05,5.35658832117915
"BID",1.10094686818453,7.74081222287647,7.00954756215306,1.47724615283028e-06,2.66187526370629e-05,5.34610470439801
"TRPM2",1.06616174578498,6.81098698496681,7.00627758960183,1.48655519287981e-06,2.66740851332325e-05,5.33979973372448
"INTS2",1.28763614430863,6.57938645470685,7.00126094640715,1.50095509526475e-06,2.68676876089101e-05,5.33012402946802
"HSPH1",1.25333447910439,8.71759829866434,6.99340298268354,1.52380214185442e-06,2.71593822756129e-05,5.31496114276626
"EIF2S2",1.02868726462421,9.25408188227214,6.99088517409151,1.53119870690221e-06,2.72456150863077e-05,5.31010090315219
"PSTPIP2",1.65668535329682,5.99194581157606,6.9641777991966,1.61198735668066e-06,2.84455001739365e-05,5.25849194998143
"CTTNBP2",1.16119790430246,5.08487551617025,6.9594397867979,1.62677497837727e-06,2.86116269731275e-05,5.24932588265533
"RECQL",1.1370360498315,7.36298231447594,6.94247806689318,1.68087641893893e-06,2.94155275591354e-05,5.21648639125655
"BOD1",1.2326645845656,8.1986896354084,6.94162257881564,1.68365401167422e-06,2.94176757954464e-05,5.21482902257556
"STC2",1.58608656594064,6.1164508077628,6.92848493276715,1.72691183731012e-06,2.99044742166073e-05,5.18936415979276
"ITGB3BP",1.2309757421217,8.62813879926938,6.89738142648699,1.83397895145137e-06,3.13247134618788e-05,5.1289799790912
"N6AMT2",1.05467470546998,7.72978910913225,6.89466310435343,1.84365733975743e-06,3.14395978218523e-05,5.12369624200604
"EPSTI1",1.62054644889652,7.87965939000299,6.87097651330601,1.93026482887666e-06,3.26550520970961e-05,5.07761193560988
"CCDC138",1.17815599663094,6.07600180942839,6.85622242852873,1.98633243862918e-06,3.33387664384263e-05,5.04886716153649
"KBTBD6",1.31774136154207,5.52889689320968,6.85387105395735,1.9954226893619e-06,3.34649668194639e-05,5.04428328113098
"SNTB1",1.00161060320028,5.08813787993608,6.84385856713412,2.03461539906955e-06,3.38711447031629e-05,5.02475587054018
"TOMM20",1.18221624098339,10.1577607229467,6.84286978688914,2.03852888870088e-06,3.38943222485871e-05,5.0228266914922
"SLC2A12",1.16030786201938,4.96833923793219,6.83339813502818,2.07641417980361e-06,3.43421770915504e-05,5.00433996310961
"EFCAB7",1.19499583017547,5.40286974368848,6.83331467936849,2.0767512133864e-06,3.43421770915504e-05,5.00417701938362
"FZD6",1.56619903676571,7.49845985332895,6.82466951234799,2.11197332163426e-06,3.47626891634375e-05,4.9872924532211
"KIF20A",1.88215486007388,7.66234203064622,6.81918170273357,2.13465228993218e-06,3.51088487438344e-05,4.97656902960017
"NUF2",2.00869444740567,6.96192062153203,6.7897953257147,2.26046061874451e-06,3.66404495575641e-05,4.91907572196862
"ANKRD46",1.16354869298582,8.602332376991,6.78112003119843,2.29905100121076e-06,3.71247060460864e-05,4.9020799796002
"TPD52L1",1.45096424084093,7.43905711908668,6.7794179310696,2.3067021889038e-06,3.71976439591254e-05,4.89874417835064
"RAD51AP1",1.89588424692308,8.70206090732295,6.76138805328659,2.38938690901456e-06,3.81782083834217e-05,4.86338435125078
"CHEK2",1.08288702844861,7.2971677677498,6.75602955619725,2.41454800440402e-06,3.84747887409359e-05,4.85286671368632
"BLACAT1",1.71765734638517,5.33618861537824,6.74534329728647,2.46554835884723e-06,3.9023451220834e-05,4.83187992226543
"SKA3",1.35862974150806,7.52453081415707,6.71814396725261,2.60045249809597e-06,4.04580261190257e-05,4.77839192287373
"PFKM",1.33837016990839,9.03683637304957,6.71477721432201,2.61767466079172e-06,4.06073216316117e-05,4.77176404362728
"CTHRC1",3.15450197559529,7.57511556382977,6.71402993101822,2.6215132730667e-06,4.06372716179387e-05,4.77029271003227
"SMG8",1.02312640989595,7.81159003628597,6.71251438254039,2.6293161800793e-06,4.06989864240617e-05,4.76730849515679
"BORA",1.57122164687992,7.70143628034821,6.70833638955526,2.65095161366778e-06,4.09351037956371e-05,4.7590801128983
"KDM1A",1.15673704672759,8.5836848676092,6.70808524511743,2.65225800450628e-06,4.09351037956371e-05,4.75858541782872
"CKAP5",1.13274787860512,8.52748458780765,6.68306301912787,2.78581700715546e-06,4.26564460355169e-05,4.70925403050888
"TRMT11",1.2424266724404,8.52485415091078,6.67446492997741,2.83330153877569e-06,4.329016461577e-05,4.69228299316632
"LYRM4",1.17037020382077,7.65791436129759,6.66017081270643,2.9141059514663e-06,4.42707151642515e-05,4.66404657077658
"LRRC8E",1.32691603219468,5.54177454576944,6.6597261048801,2.91665779804817e-06,4.42779005278888e-05,4.66316765042274
"GEMIN5",1.34056173336922,7.14538594615215,6.64870711929214,2.98063163388566e-06,4.49710335910701e-05,4.64138106490561
"NLE1",1.03968705101516,6.87789734082304,6.64453777800629,3.00521505859282e-06,4.52335538971025e-05,4.63313315782727
"C4orf46",1.32141469699656,5.90003648485124,6.64086203143984,3.02706214994666e-06,4.54678397261735e-05,4.62585971670486
